a-vorto; adjective
malŝparo; waste
malŝraŭbi; unscrew
malŝtopi; unplug, tap
malŝveli; reduce, deflate
malŝvelo; reduction
malĉasta; wanton, lecherous, libidinous, indecent, dissolute
malĉasteco; lasciviousness, licentiousness
malĉastejo; brothel, house of ill-repute
malĉasti; commit sexual improprieties, fornicate
malĉeesto; absence
malĉefa; minor
malĉifri; decrypt, decode, decipher
malĝentila; rude, impolite, vulgar, earthy
malĝentile; discourteous, churlish
malĝentileco; rudeness
malĝentilega; incredibly insolent, shameless
malĝentilulo; rude person
malĝoja; gaunt, sad, dismal
malĝoje; sadly
malĝojeco; gloom
malĝoji; be grieved, be sorrowful, be sad
malĝojiga; dismal, miserable
malĝojigi; give pain to, afflict, cause pain to, cause pain, sadden
malĝojo; sadness, sorrow
malĝusta; mistaken, wrong, incorrect
malĝustaĵo; error, wrong
malĝuste; wrongly, wrong
malĝusteco; error
mama; mammary
mambesto; mammal
mambestoj; mammals
mameto; nipple
mamnutri; nurse, suckle, breed
mamo; udder, breast, teat
mamono; mammon
mampinto; nipple
mamsuĉi; nurse, suckle, suck
mamulo; mammal
mamuta; mammoth, jumbo
mamuto; mammoth
mamzono; brassiere, bra
mana; manual
manao; manna
manartiko; wrist
manato; manatee
manaĝerado; management
manaĝero; manager
mancinelo; manchineel
mandareno; mandarin
mandarino; tangerine, mandarin
mandato; mandate, warrant, writ, term
mandiblo; mandible
mandolino; mandolin
mandorso; back of the hand
mandragoro; mandrake
mane; longhand, up for grabs, on hand, in hand, close at hand, by hand, at hand, manually
manekeno; mannequin <g>pers</g>, fashion model <g>pers</g>, dummy
manen; hand in hand
mangano; manganese
mango; mango
mangujo; mango-tree, mango tree
maniero; mode, way, manner
manifestacii; demonstrate
manifestacio; demonstration
manifestado; manifestation
manifestaĵo; manifestation
manifesti; (make) manifest, manifest (make), show, demonstrate
manifestiĝi; manifest itself, manifest
manifestiĝo; manifestation
manifesto; manifesto, manifest
manika; sleeved
maniko; English Channel, sleeve, the English Channel, the Channel
manikuro; manicure
manilo; Manila
manio; mania
manioko; cassava, yuca, mogo, cassada, mandioca, manioc
manipulado; treatment, manipulation
manipuli; use, manage, ply, manipulate, handle
maniulo; maniac <g>pers</g>
manka; flawed, missing, imperfect, defective, deficient
mankateno; handcuff, handcuffs, manacles, manacle
manki; be missing, be lacking, be <g> missing</g>, lack
mankiso; hand-kiss
manko; failing, dearth, deficiency, defect, inadequacy, gap, insufficiency, absence, shortage, lack, shortcoming
mankohava; faulty
mankoloko; gap
manlabora; unskilled
manlaboro; manual labor, manual labour, handiwork
manlibro; manual, handbook
mano; hand
manovrado; jockeying
manovri; maneuver, manouvre, manoeuvre
manovrigi; manoeuvre
manovro; manouvre, manoeuvre, maneuver
manpilkado; handball
manpilkludo; handball
manpilko; handball
manplato; palm
manpleno; fistful, handful
manpremi; shake hands
manpremo; handshake
manradiko; wrist
mansaketo; handbag, hand-bag
mansako; hand-bag, handbag
mansaluti; wave
mansaluto; wave
mansardo; attic, garret
mansigni; wave
mansigno; hand signal
manskribo; handwriting
mansupro; back of the hand
mantelo; wrap, mantle, cloak
manteni; have got hold of
mantenilo; handle
mantilo; mantilla
manto; mantis
mantro; mantra
mantuko; towel
manufakturaĵo; product
manufakturo; installation, works, manufactory, factory
manumo; cuff
manuskripto; manuscript
manuzi; handle, manipulate
manĝadi; dine
manĝado; meal, dining
manĝaĵo; food
manĝebla; edible
manĝegema; greedy
manĝegemo; gluttony
manĝejo; dining-room, canteen
manĝema; hungry
manĝeti; snack, nibble
manĝeto; small meal, snack, collation
manĝi; feed <f>{past fed} {perf fed}</f>, eat <f>{past ate} {perf eaten}</f>
manĝigi; feed <f>{past fed} {perf fed}</f>
manĝilaro; knives and spoons, forks, setting
manĝo; meal
manĝokarto; menu
manĝoŝranko; pantry
manĝoĉambro; canteen, dining-room
mapado; mapping
maparo; atlas
mapi; map, chart
mapo; map, chart
mara; maritime, marine
marabuo; marabou stork
marakvo; seawater
mararmeo; navy
marasmo; marasmus, emaciation
maratono; marathon
marborda; littoral, coastal
marborde; ashore
marbordo; shoreline, coastline, seaboard, coast, seaside, shore
marcipano; marzipan
mardo; Tuesday
marerinaco; sea urchin
marfundo; seabed, sea-bottom, bottom of the sea
margarino; margarine
marini; marinate
marioneto; marionette, puppet
maristo; sailor <g>pers</g>, mariner, seafarer
markado; checking
markezo; penthouse, shed, marquee
marki; mark
markizo; marquis <g>pers</g>
marko; mark, brand
markobutono; check box
markolisto; check list
markolo; channel, strait
markoti; layer
markoto; layer
marksisma; marxist
marksismo; Marxism
markso; Marx
marmalsano; air sickness, motion sickness, sea sickness, seasickness
marmelado; preserve, marmalade, marmelade, jam
marmito; casserole, pot
marmora; marble
marmoro; marble
marni; marl
marnivelo; sea level
marno; marl
maro; sea
marodi; raid
maroka; Moroccan
marokano; Moroccan <g>pers</g>
marokeno; Moroccan leather
maroko; Morocco
marrabisto; pirate, buccaneer
marsa; Martian
marsano; Martian
marso; Mars
marsoldato; marine
marstelo; starfish
marsupiulo; kangaroo
marsupiuloj; marsupials
marteladi; pound
martelado; hammering
marteli; hammer
martelo; hammer
marteno; Martin
martireco; martyrdom
martiriĝo; martyrdom
martiro; martyr <g>pers</g>
marto; March
marveturilo; vessel
marŝadi; tramp, ramble
marŝado; hiking
marŝalo; marshal <g>pers</g>
marŝaloj; Marshall Islands
marŝi; march, walk
marŝo; walk, march
marĉa; soggy
marĉandado; bargaining, haggling
marĉandi; haggle, bargain
marĉando; bargaining
marĉo; marsh, swamp
marĝena; borderline, marginal
marĝene; marginally
marĝenigi; marginalize
marĝeno; margin
marĝenulo; marginalised person, fringe existence
masakri; massacre
masakro; massacre
masaĝi; massage
masaĝistino; masseuse
masaĝisto; masseur
masaĝo; massage
masiva; massive, large, heavy
maskerado; masquerade
maski; mask
maskla; male
masklo; male
masko; persona, mask
maskobalo; masked ball
maskovesto; costume
maso; lump, mass
masonaĵo; masonry
masoni; build <f>{past built} {perf built}</f>
masonisto; mason <g>pers</g>, bricklayer
masoristo; masorete <g>pers</g>
masoro; Masora(h)
masoĥismo; masochism
mastiki; fill in, stop (hole), putty
mastiko; mastic, putty
masto; mast, topmast
mastodonto; mastodon
mastra; master
mastrado; rule
mastraĵo; housekeeping
mastreco; proprietorship
mastrema; domineering
mastri; be master over, dominate
mastrino; mistress <g>pers</g>
mastriĥto; Maestricht, Maastricht
mastro; boss <g>pers</g>, master <g>pers</g>, patron saint
mastrostriko; lockout
mastruma; operating system, domestic, operating
mastrumado; management, housekeeping, housework
mastrumaĵo; household
mastrumi; keep house, manage
mastrumistino; housekeeper <g>pers</g>
mastrumisto; housekeeper
matematika; mathematical
matematikalogiko; mathematical logic, logistics
matematike; mathematically
matematikisto; mathematician <g>pers</g>
matematiko; mathematics, math, maths
matene; morning, in the morning
mateniĝo; morning
matenmanĝi; breakfast
matenmanĝo; breakfast
mateno; morning
matenruĝo; red of dawn
matenstelo; morning star
mateo; yerba mate
materia; material, tangible
materiala; material
materialisma; materialistic
materialismo; materialism
materialo; data, material
materiismo; materialism
materiisto; materialist
materiiĝi; materialise
materio; matter
mato; mat
matraco; mattress
matrica; null matrix, unit matrix
matricaadicio; matrix addition
matricamultipliko; matrix multiplication
matrico; matrix of a linear mapping, matrix, n-by-p matrix
matrikuli; enrol
matrikulo; roll, list of members
matura; ripe, mature, mellow
maturaĝa; mature
matureco; ripeness, maturity
maturigi; mature
maturiĝi; mature, ripen
maturiĝo; maturity
matĉo; game, match
mazurko; mazurka
mazuto; oil, mazut
maŝa; net
maŝaro; net, mesh
maŝina; machine
maŝinaro; machinery
maŝinlingvo; machine language
maŝino; engine, machine
maŝinpafilo; automatic rifle, machine gun
maŝinskribi; type
maŝkaptilo; noose
maŝkiraso; chainmail
maŝo; mesh, loop
maŭricio; Mauritius
maŭritanio; Mauritania
maŭro; Moor
maŭzoleo; mausoleum
maĉeto; machete
maĉgumo; gum, chewing gum
maĉi; masticate, chew, munch
maĉo; mastication, match
maĥinacio; plot
maĥo; Mach number
meandro; meander
meblaro; trousseau, furniture
meblaĵo; furniture
mebli; furnish
meblo; piece of furniture <g>uncount op</g>, a piece of furniture, furniture
mecenateco; support, patronage
mecenato; supporter, patron <g>pers</g>
medaliono; cameo
medalo; medallion, medal
media; environmental
mediacii; mediate
mediaciisto; mediator
mediacio; mediation
mediano; median
mediatoro; ombudsman
medicina; medical
medicinaĵo; medicine, pharmaceutical, drug
medicine; medically
medicino; practice of medicine, medicine
medikamenta; medicinal
medikamento; drug, pharmaceutical, medication, medicine
medio; environment, surroundings
meditado; meditation
meditema; pensive, thoughtful, meditative, thinking
mediteranea; Mediterranean
mediteraneo; Mediterranean Sea, Mediterranean, the Mediterranean
mediti; meditate, think to oneself, muse
medito; meditation
mediumo; psychic, medium <f>{pl media}</f>
medo; mead <g>pers</g>
medolo; pith, marrow
meduzo; Medusa
mefito; skunk <g>pers</g>
megafono; megaphone, bullhorn
megalomanio; megalomania
megaomo; megohm
megero; shrew <g>pers</g>, fury, Megaera
mejlo; mile
mejloŝtono; milestone, milepost, landmark
mekanika; mechanical
mekanikisto; mechanic <g>pers</g>
mekaniko; mechanics <g>pers</g>, mechanic <g>pers</g>
mekanismo; mechanism
meksika; Mexican
meksikano; Mexican
meksiko; Mexico, Mexico City
melampiro; cow wheat
melankolia; dreary, bleak, melancholy, dismal, gloomy, dejected, depressed, melancholic
melankolio; depression, melancholy, dejection, gloom, melancholia
melankoliulo; melancholic
melaso; treacle, golden syrup, molasses
meleagro; turkey
melhundo; dachshund
meliloto; melilot
melinito; melinite
melkado; milking
melki; milk
melkistino; milkmaid
melo; badger <g>pers</g>
melodia; tuneful, melodious, melodic, songful
melodio; tune, melody
melodrama; melodramatic
melodramo; melodrama
melolonto; may bug
melongeno; eggplant, aubergine
melono; melon
melopepo; squash, spaghetti squash, summer squash, yellow squash
mem; itself, herself, self, himself
memamo; love of self, self-love
membrano; skin
membraro; membership, member
membreco; belonging, membership
membriĝi; accede, belong
membriĝo; membership
membro; limb, member <g>pers</g>
membrokotizo; dues
memdigno; self-worth, self-respect, dignity
memestimo; self-confidence, self confidence, self esteem, self-respect, self respect, self-esteem
memevidenta; self-evident
memevidente; obviously
memfida; self-assured, confident
memfide; safely
memfido; self-confidence, confidence
meminstruito; self-taught, self-taught man, autodidact <g>pers</g>
memkomprenebla; natural, self-evident
memkompreneble; of course
memkonjugita; self-conjugate, distinguished, normal, invariant
memkontenta; complacent
memkontento; complacency
memkontraŭdiro; ambivalence, self-contradiction
memkritiko; self-criticism
memlernilo; teach-yourself book
memlerninto; self-taught person, autodidact <g>pers</g>, self-taught man
memmortigi; commit suicide
memmortigo; suicide
memo; self
memorando; memorandum <f>{pl memoranda}</f>
memoraĵo; memento, souvenir, keepsake, memorabilia, memoir
memori; recollect, recall, remember
memorigaĵo; keepsake, memento, souvenir
memorigi; remind, recall
memorigo; memorialisation, reminder
memorinda; memorable
memorindaĵo; highlight
memorinformo; memory information
memorkapablo; memory
memorlikado; memory leak
memoro; memory, recollection
memoroakiro; memory allocation
memortabulo; memorial plaque, plaque
memortago; anniversary
memoruzado; memory usage
memoruzo; memory usage
memregado; self-rule, self-control
memriproĉo; qualm, remorse
memserva; self-service
memstara; independent, stand alone
memstareco; autonomy, independence
memsufiĉa; self-sufficient
memuaro; paper, memoir  (scholarly paper)
memvola; of one's own will, willing, voluntary, spontaneous
memvole; freely
memvolulo; volunteer
memŝaltilo; automatic switch
mencii; mention
menciinda; worth mentioning
mencio; mention, reference
mendado; market
mendelevio; mendelevium
mendelevo; Mendeleev <g>pers</g>
mendi; book, reserve, order
mendilo; order-form
mendo; order
menhiro; menhir
meningito; meningitis
meningo; meninges
mensa; mental
mense; mentally
mensmalsano; mental illness
mensmalsanulo; mentally ill person
menso; mind
mensoganto; liar
mensoge; mendacious
mensogemo; mendacity
mensogi; lie <f>{past lay} {perf lain}</f>, tell a lie
mensoginto; liar
mensogisto; deceiver <g>pers</g>, cheat, impostor <g>pers</g>
mensogo; lie
mensogulo; lier, liar
mensostato; mentality, state of mind
menstrua; menstrual
menstruacio; menstruation
menstruo; menstrual flow, menstruation
mentaleco; mentality
mento; mint
mentono; chin
mentora; advisory
mentoro; adviser, mentor <g>pers</g>
menuaro; menu system
menueto; minuet
menuklavo; menu key
menukomando; menu command
menulistelo; menubar
menuo; menu
menuredaktilo; menu editor
menuro; lyrebird
menuzono; menubar
merdo; shit
mergi; submerge, immerse
mergiĝi; submerge
merina; merino
meringo; meringue
merino; merino
merinolano; merino wool
merite; rightly
meriti; merit, deserve, be worthy of
merito; merit
merizarbo; bird-cherry
merizo; wild cherry
merkantilismo; mercantilism
merkatado; marketing
merkatiko; marketing
merkato; market, sales activity
merkredo; Wednesday
merkura; Mercurial
merkuro; Mercury
merlango; whiting
merlo; blackbird
merĝo; merganser
mesaĝgrandeco; message size
mesaĝi; send a message
mesaĝisto; messenger
mesaĝkapo; message header
mesaĝlisto; message list
mesaĝnumero; message number
mesaĝo; errand, message
mesaĝparto; message part
mesaĝteksto; message body
mesianismo; messianism
mesio; Messiah <g>pers</g>
meso; mass
mespilarbo; medlar
mespilo; medlar
mespilujo; medlar
mestizo; mestizo <g>pers</g>
meta; meta
metabola; metabolic
metabolo; metabolism
metado; placing
metadosiero; metafile
metafizika; metaphysical
metafiziko; metaphysics
metafora; metaphorical, figurative
metaforo; metaphor
metakarpeo; metacarpal
metala; metallic, metal
metalfadeno; wire, thread
metalisto; metalworker
metalo; metal
metaloida; metalloid
metaloido; metalloid
metalrubo; scrap
metalurgia; metallurgical
metalurgio; metallurgy
metamorfa; metamorphic
metamorfozi; transform
metamorfozo; metamorphosis, transformation
metano; methane
metapsikio; parapsychology
metatarso; metatarsal
metatezo; transposition
meteologia; meteorological
meteologio; meteorology
meteologo; meteorologist
meteora; meteoric
meteorito; meteorite
meteoro; meteor
meteorologia; meteorological
meteorologio; meteorology
meteorologo; meteorologist
meteorŝtono; meteorite, aerolite
meti; put down, put <f>{past put} {perf put}</f>, lay down, place, lay
metia; vocational
metiejo; workshop, jobsite, workplace
metiisto; blue-collar worker, artisan <g>pers</g>
metilernanto; trainee
metio; craft, occupation, handicraft, trade, blue-collar profession
meto; setting
metoda; methodical
metodaro; methodology
metodika; methodological
metodiko; methodology
metodisto; Methodist <g>pers</g>
metodo; method
metonimio; metonymy
metopo; metope
metra; metric
metrikaspaco; metric space
metriko; metric, metre, metrics
metro; meter, metre
metronomo; metronome
metroo; underground, rapid transit, subway, L, metro
metropola; metropolitan
metropolo; capital, mainland, metro, metropolis
metrostacio; subway station, underground station
mevo; seagull, gull <g>pers</g>
meza; mean, middle, average, intermediate
mezafrika; central african
mezanto; median
mezaĝa; middle-aged
mezaĝulo; middle-aged person
mezbona; middling, mediocre, average
